"doc_id","text","dropped"
"1462 Ugx5rGykAylnsiPt2p14AaABAg","Trump❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",NA
"1473 Ugw_iZ8wm0STYLD7ICt4AaABAg","۵۴۸۷۱۹",NA
"1498 UgwG1xfdWe4iVM_E3rF4AaABAg","1:11:53 a tootin? 😂",NA
"1517 Ugx1mHCzK2J2dnZc8zZ4AaABAg","Nightmare",NA
"1580 Ugw0qS5xa2MLeP2-Lnd4AaABAg","I skibidi with",NA
"1584 UgzgvpBZEPWL4zjG7WJ4AaABAg","🇵🇭❤️🇺🇸",NA
"1585 UgwD4fcPpRvNqzTkwsl4AaABAg","No Roe Joe",NA
"1621 UgzsRqqkcdlZKwjFzON4AaABAg","Lie lie lie lie 😢",NA
"1622 Ugy7gQzvFC6aui7k1kx4AaABAg","1$=1ru?! Equality?",NA
"1625 Ugy3R4YgDB74BloYIpR4AaABAg","🇵🇭❤️Trump 💚👊",NA
"1628 UgytPNvAmMGvRCrGyIt4AaABAg","T24",NA
"1639 Ugwsw9rZ3z7k7eoE3e54AaABAg","20:42 🤣🤣🤣",NA
"1643 UgzLQn8k7o2Lwl-zWxl4AaABAg","Im with trump😊",NA
"1644 UgxZJKS3zvSsJ1nrSnd4AaABAg","为什么美国人能容忍这种人做总统，听完只后只简直是两个喝醉酒的人，一个不停的吹牛说胡话，另一个逻辑混乱，话都已经说不清了
我明白人无完人，但这是国家首脑候选人，美国真的没有人了吗",NA
"1658 UgzyGOvWxW2cjN-RQJJ4AaABAg","What is a bad war lol?",NA
"1676 UgyjVlaTyq0V51z4sB94AaABAg","❤Donald",NA
"1698 UgxmtSnnhLoKq4LU0Gl4AaABAg","トランプ頑張れーーー✨✨✨

バイデンは戦争斡旋大統領だから世界は飽き飽きしてる❗❗

戦争を止めさせるのはトランプしかいない🎉🎉🎉

再選を祈ります🔔

アメリカ国民が悪いのではなく、大手企業に操られるバイデンが悪い❗❗

トランプには本当の『愛』がある❤

国民を思う『心』がある❤

トランプしかいない⭐⭐⭐⭐⭐",NA
"1714 UgyYB-FvtUjd-i485994AaABAg","26:00",NA
